Fold,Model Name,Accuracy,Macro Precision,Macro Recall,Macro F1,ROC AUC,Class 0.0 Precision,Class 0.0 Recall,Class 1.0 Precision,Class 1.0 Recall,Class 2.0 Precision,Class 2.0 Recall
1,Logistic Regression,0.6624472573839663,0.64265968734587,0.6358442026280047,0.6348406160605374,0.8153042054160613,0.694526191877575,0.5402930402930403,0.6879310344827586,0.7473909553117474,0.5455218356772761,0.6198486122792263
2,Logistic Regression,0.6488045007032349,0.6291919184532336,0.6246453520069338,0.6233776338150566,0.8114370853489715,0.6722063037249284,0.5370879120879121,0.6747886623570363,0.7262510034787263,0.5405807892777365,0.6105971404541631
3,Logistic Regression,0.6541490857946554,0.6334190130320932,0.6313158476835762,0.6292594081079647,0.8111612729357113,0.670601461495222,0.5464956481905634,0.6833249623304872,0.7281241637677281,0.5463306152705708,0.619327731092437
4,Logistic Regression,0.6552742616033755,0.6355645330569529,0.6317745986018397,0.6310679924676311,0.8094589528599069,0.6638888888888889,0.5474118185982593,0.682591295647824,0.7302649183837303,0.5602134146341463,0.6176470588235294
5,Logistic Regression,0.6524613220815753,0.6336417451375692,0.6310764306085274,0.6285847472638589,0.8088031489065005,0.6714614499424626,0.5345854328905176,0.6788029925187032,0.7283917580947283,0.5506607929515418,0.6302521008403361
6,Logistic Regression,0.6672292545710268,0.6480717421616728,0.6367896557404052,0.6391029230586284,0.8183416047543739,0.697594501718213,0.5576923076923077,0.6883720930232559,0.7526766595289079,0.5582486317435497,0.6
7,Logistic Regression,0.6603375527426161,0.6409181141439012,0.6361183011611277,0.6344453834584339,0.8166647483599664,0.6833527357392316,0.5375457875457875,0.6865560782371875,0.742237687366167,0.5528455284552846,0.6285714285714286
8,Logistic Regression,0.6512871008580673,0.6318823309834635,0.6239444092357936,0.6239396008128658,0.8147608515918888,0.6668621700879765,0.5206043956043956,0.6766935681095623,0.7406316916488223,0.5520912547528517,0.6105971404541631
9,Logistic Regression,0.6510057673371782,0.6299064962313945,0.6278265164655488,0.6251172760880129,0.8100226721278485,0.6807538549400343,0.5457875457875457,0.6803216888665494,0.7245717344753747,0.5286439448875997,0.6131202691337259
10,Logistic Regression,0.6512871008580673,0.6320620842738606,0.6281455088975129,0.6262659284461125,0.8092712814707772,0.6657010428736964,0.5260989010989011,0.6781466798810704,0.7326017130620985,0.5523385300668151,0.6257359125315392
1,Logistic Regression ROS,0.6977698483496878,0.6956710476806937,0.6977691113633616,0.6946812197430982,0.8301140107480149,0.7258382642998028,0.6895074946466809,0.6469886702444841,0.5806796895905807,0.7141862084977942,0.8231201498528231
2,Logistic Regression ROS,0.6990187332738627,0.6974001729166783,0.6990172402563481,0.6960259080505499,0.8254301787020332,0.7289104947097512,0.6822805139186295,0.6507842556969518,0.5884399250735884,0.7125057683433318,0.8263312817768264
3,Logistic Regression ROS,0.7011596788581623,0.6989710448456692,0.7011590215101146,0.6976639585938288,0.8272666902202883,0.7305524239007892,0.6937901498929336,0.6510574018126888,0.5766657746855767,0.7153033088235294,0.833021139951833
4,Logistic Regression ROS,0.70035682426405,0.6981119672336309,0.7003559281502548,0.6975936354791465,0.8253481728736514,0.7252530933633295,0.6903104925053534,0.6459189665296535,0.5887075194005887,0.7231638418079096,0.822049772544822
5,Logistic Regression ROS,0.6900981266726137,0.6884996075789359,0.6900964982197623,0.6869127787541184,0.8219358428215711,0.726693688477128,0.6718415417558886,0.6345926800472255,0.5753278030505753,0.7042124542124543,0.8231201498528231
6,Logistic Regression ROS,0.7008653760371131,0.6997287068545028,0.7008671937568199,0.698160699730094,0.8290010433337563,0.7383855981416957,0.6804923735616805,0.6470759383183008,0.5952890792291221,0.713724584103512,0.8268201284796574
7,Logistic Regression ROS,0.704612365063788,0.7031875379848378,0.7046132039559647,0.7014531782125789,0.8294683718542254,0.7334839073969509,0.6952100615466952,0.6643504531722054,0.5885974304068522,0.711728253385357,0.8300321199143469
8,Logistic Regression ROS,0.7043447229904541,0.703222244684237,0.7043458722572297,0.7014204741173055,0.8326585753137813,0.7382857142857143,0.6914637409686915,0.6607036374478235,0.5931477516059958,0.7106773823191733,0.8284261241970021
9,Logistic Regression ROS,0.6952448924971005,0.6932699505766201,0.6952454924872081,0.6920495808615524,0.825965397196161,0.7305508233957978,0.6885202033716885,0.6399164677804295,0.5741434689507494,0.7093425605536332,0.8230728051391863
